10,61,0,96
6,37,16,84
14,83,6,90
10,60,2,98
13,61,4,88
4,23,75,0
2,15,14,79
16,74,12,76
12,84,7,88
6,40,9,89
11,71,13,85
3,16,100,0
4,25,9,86
4,38,9,82
8,43,0,92
6,36,0,100
9,43,6,94
2,13,8,92
3,24,91,0
2,16,60,33
5,26,5,91
21,91,4,87
5,33,3,97
3,9,71,0
16,76,3,90
5,32,4,93
6,37,16,78
5,24,5,90
4,28,16,76
2,12,0,100
17,96,2,94
13,82,1,97
4,23,20,75
4,24,5,90
6,33,0,100
15,87,5,92
9,52,7,91
4,19,19,81
9,58,4,88
11,85,1,97
1,5,20,60
2,12,18,82
6,37,25,66
2,11,10,80
2,17,12,88
15,71,7,86
4,39,3,94
5,38,12,88
6,28,4,91
1,6,17,83
8,41,3,97
3,16,7,86
4,25,5,95
5,31,93,0
4,20,6,94
2,11,20,70
1,10,10,80
3,20,11,78
4,25,5,95
6,29,8,83
20,85,0,89
2,13,8,92
4,26,4,91
2,11,10,80
8,44,3,97
3,22,5,90
9,48,2,98
1,11,100,0
3,19,6,94
3,19,18,82
5,32,4,96
9,55,4,91
6,33,4,93
3,11,11,89
4,31,4,89
4,19,6,94
6,33,4,96
5,21,6,88
4,25,5,95
11,50,2,98
3,22,5,90
5,36,3,81
6,38,6,85
7,36,3,87
6,33,7,86
6,31,4,96
2,8,14,71
2,9,12,75
12,53,7,93
18,97,1,94
5,37,15,76
6,30,8,84
7,36,3,93
6,35,17,83
3,19,6,94
2,9,12,88
3,16,21,64
4,21,6,94
3,21,0,100
6,37,3,94
2,11,20,70
5,27,4,96
6,51,2,78
5,27,17,83
4,24,19,81
4,26,17,78
3,19,12,88
12,58,0,91
5,37,3,94
3,20,6,94
15,69,5,89
6,36,87,0
3,18,19,75
5,30,4,96
4,28,16,80
3,18,6,88
3,20,6,94
3,17,20,80
8,44,3,95
3,25,4,96
4,21,6,89
9,55,2,83
5,28,12,88
3,18,12,75
4,47,7,86
5,33,3,90
13,58,4,93
17,78,3,90
4,25,5,95
10,49,2,95
2,19,17,72
2,13,17,83
6,40,6,89
4,24,19,81
2,13,8,75
2,13,17,83
3,20,6,94
15,92,0,96
14,61,6,88
5,31,19,81
5,37,3,94
5,34,3,97
5,25,5,95
7,57,2,96
4,21,11,89
2,15,7,93
2,10,22,78
12,63,8,92
2,12,18,82
11,52,2,98
4,17,7,93
6,33,4,89
20,113,2,89
5,26,10,76
4,17,7,93
7,35,3,93
10,45,6,83
6,30,4,96
6,41,3,92
5,40,14,81
4,22,5,95
6,33,4,93
12,73,2,98
9,47,3,87
8,53,11,87
3,17,7,87
6,41,6,92
5,26,5,95
13,68,0,100
3,21,5,89
4,28,4,88
2,17,6,88
2,10,22,78
2,13,8,92
5,33,14,83
2,7,17,83
6,34,3,93
3,26,4,96
3,16,21,71
3,21,5,89
2,16,7,93
11,46,8,89
5,27,4,91
10,55,4,91
11,71,2,93
6,40,60,40
9,50,2,93
4,22,16,84
4,27,4,92
6,39,6,88
2,12,18,82
21,97,1,91
5,32,4,96
13,77,2,92
2,8,14,71
3,23,0,95
4,14,27,64
4,28,8,84
4,17,21,79
6,41,11,83
12,52,2,90
7,37,3,97
7,30,4,88
2,11,20,80
2,11,10,90
6,40,6,80
6,31,8,92
23,107,6,92
3,15,15,54
9,44,3,92
7,39,0,100
3,16,14,79
2,12,100,0
7,27,5,90
6,37,9,91
4,32,3,97
2,14,8,92
13,88,5,91
12,55,11,82
10,63,2,93
3,14,8,83
6,28,4,91
3,14,8,92
11,59,2,96
4,22,16,84
4,22,5,95
3,23,14,86
2,10,22,78
11,52,2,98
5,32,11,86
3,21,16,84
2,13,8,92
9,40,3,94
5,28,0,96
14,66,2,98
7,51,7,87
