2,10,89,0
12,69,16,67
6,37,3,88
7,52,2,93
7,52,2,91
3,13,9,91
11,51,5,83
7,50,2,84
7,41,3,94
4,27,4,88
4,20,6,88
4,23,5,90
12,57,13,87
2,25,8,92
4,19,6,88
5,32,7,82
4,19,6,88
8,46,18,77
4,21,6,94
11,57,13,83
7,31,4,96
15,75,3,92
1,6,17,67
7,34,4,89
1,12,92,0
4,20,6,88
3,32,43,53
5,23,11,84
5,24,20,80
6,40,3,54
13,60,4,88
17,76,3,88
7,46,10,88
4,24,5,86
6,30,4,92
12,88,3,95
13,84,6,89
4,26,17,78
3,24,14,86
11,71,8,89
7,39,3,94
9,51,7,86
3,20,6,89
1,10,10,90
2,11,10,90
3,20,6,94
1,11,9,91
6,33,7,89
2,17,6,94
11,66,2,93
11,60,10,84
2,14,8,85
9,53,4,93
12,52,5,93
9,49,2,93
5,26,5,95
5,31,15,81
7,40,3,91
1,6,17,83
1,4,25,75
10,63,20,76
5,27,4,96
6,28,4,91
17,89,5,92
2,14,8,92
5,28,96,0
7,44,3,97
5,27,9,87
9,55,0,96
5,26,5,95
6,44,3,95
6,26,10,90
13,83,3,92
3,20,0,100
9,53,9,87
13,66,2,89
6,38,3,91
5,23,5,89
1,9,22,67
14,68,0,95
6,42,3,97
3,14,25,75
22,115,2,94
4,23,0,80
11,82,14,76
5,22,0,89
10,63,2,98
5,35,3,68
2,14,15,85
5,27,4,96
4,22,5,89
10,69,15,73
7,51,16,82
3,14,25,67
3,17,13,87
9,54,2,93
4,20,24,76
6,30,4,92
4,25,5,91
15,85,1,97
3,22,15,80
10,61,8,90
7,51,9,89
10,79,1,94
11,51,0,95
7,40,3,97
10,61,4,85
11,77,1,94
10,56,2,96
7,35,3,93
8,37,7,90
4,22,5,84
10,65,4,91
5,37,3,97
11,54,2,93
9,57,2,86
7,40,3,94
9,45,6,89
3,12,20,80
3,25,4,96
8,44,11,89
11,67,2,95
15,79,3,78
7,30,4,92
4,35,12,84
10,46,14,76
12,65,4,93
2,13,17,83
6,26,100,0
9,61,4,94
6,49,2,98
10,57,2,92
3,20,11,89
3,16,14,79
12,70,2,97
11,63,6,89
6,40,9,91
13,64,2,92
6,50,13,82
4,14,9,91
7,45,3,97
15,87,3,92
2,15,100,0
10,53,5,86
11,60,0,86
3,20,6,83
6,37,0,94
9,53,2,96
12,59,2,94
10,62,2,96
8,40,3,97
13,60,4,88
8,42,31,60
8,64,2,95
4,20,6,94
14,70,4,93
10,51,2,93
10,58,4,86
13,61,37,57
5,34,13,83
4,27,4,92
8,45,3,95
6,41,3,97
5,30,8,85
4,24,5,95
7,33,4,96
6,31,19,81
4,19,6,94
6,39,97,0
4,20,6,88
15,83,4,85
3,14,8,92
3,23,5,95
8,50,7,88
16,84,1,94
4,23,5,90
6,31,4,96
5,24,5,95
6,35,3,97
3,19,6,88
12,62,14,84
18,85,3,79
20,103,1,98
14,104,2,95
7,48,2,98
12,68,2,98
11,56,4,91
4,17,7,93
11,62,2,96
12,57,26,74
9,59,2,98
8,46,3,97
8,36,10,83
15,72,26,62
7,35,7,93
11,55,2,96
4,17,7,93
3,39,5,89
10,65,2,95
7,31,8,88
12,55,5,95
6,32,19,78
8,46,3,97
2,14,8,92
17,93,1,95
4,19,6,94
3,20,11,67
2,12,18,73
3,31,0,100
8,47,12,82
7,56,2,98
5,30,8,88
13,63,6,90
5,34,3,93
5,28,4,96
3,21,5,68
7,37,0,97
5,24,15,80
16,89,32,64
7,28,14,82
7,36,7,93
13,79,15,85
14,110,1,96
13,65,6,91
12,62,0,96
13,66,2,96
14,100,2,95
6,27,9,91
6,35,0,100
3,19,18,82
8,37,10,90
11,64,7,89
12,61,8,86
4,33,3,97
6,32,4,96
2,25,8,92
12,57,2,98
17,82,6,89
13,79,1,97
6,32,4,85
13,58,2,96
4,17,14,79
6,30,28,72
4,28,4,96
4,22,11,79
6,48,7,84
7,40,18,79
11,55,91,0
10,59,2,96
8,34,4,74
12,62,2,96
9,47,15,72
11,68,3,91
3,19,18,82
6,29,46,54
10,51,2,83
7,43,14,84
7,40,6,88
2,19,11,89
23,121,1,96
11,67,9,88
1,6,17,83
6,32,11,81
7,39,3,97
8,44,0,100
10,52,2,93
4,24,14,86
8,39,6,90
9,55,2,98
5,24,5,85
1,9,0,100
18,107,1,99
22,119,2,98
6,36,3,97
13,72,3,88
5,39,3,94
10,54,4,91
5,35,6,87
2,12,9,91
3,18,6,94
3,13,0,36
8,56,0,98
7,33,4,96
2,16,7,93
5,25,24,76
6,35,17,77
3,15,8,92
4,30,4,93
10,57,2,94
8,46,3,97
11,66,2,96
4,22,5,89
6,32,19,81
5,35,6,90
14,73,3,95
5,31,4,96
3,14,25,75
7,32,4,92
11,52,5,95
3,18,12,75
4,23,20,80
19,95,1,96
22,121,3,94
6,36,10,90
5,38,0,100
13,80,1,99
8,43,17,75
15,78,2,97
11,69,2,93
8,64,4,89
2,15,7,86
5,27,22,70
10,44,3,94
7,49,0,79
3,31,3,90
5,36,3,94
6,41,3,81
4,27,4,92
2,19,100,0
6,41,3,94
10,62,13,83
3,21,16,84
5,38,3,97
10,54,9,89
5,37,3,97
30,163,5,93
6,27,5,95
11,67,2,93
6,37,12,88
2,10,22,78
8,40,3,97
7,36,20,80
11,67,2,98
9,52,2,93
16,88,5,95
4,17,7,93
13,62,4,94
4,23,5,90
6,26,14,81
17,86,9,89
2,16,13,87
4,33,3,90
13,56,5,80
13,61,2,90
21,105,2,96
6,30,8,76
3,20,6,89
5,31,0,89
8,47,25,50
6,39,3,94
4,36,3,94
10,53,2,77
5,36,9,81
13,70,0,93
4,27,12,83
3,19,6,94
16,87,11,79
4,23,5,90
11,65,13,84
7,36,3,93
8,38,13,87
3,27,4,96
14,79,2,98
9,63,4,85
3,35,9,91
6,38,3,94
9,58,6,92
16,94,5,92
11,61,6,88
4,25,5,91
10,57,2,92
2,12,9,91
6,41,3,94
9,55,6,81
3,22,15,85
6,31,8,92
8,49,17,69
10,64,15,80
10,59,2,96
6,50,2,98
12,80,14,86
6,30,8,80
13,75,2,92
5,24,5,85
5,28,0,96
13,73,2,98
9,38,3,97
11,66,5,91
2,17,6,94
11,69,2,97
11,102,7,73
8,53,11,87
19,94,3,92
9,60,4,94
5,21,0,100
18,98,1,94
1,10,10,90
5,27,4,96
7,31,4,88
8,39,22,72
3,17,20,80
2,14,15,85
13,73,2,89
4,18,7,93
8,41,3,88
6,40,6,91
28,128,3,92
3,19,6,94
14,73,3,95
5,38,3,97
18,89,3,96
4,19,6,81
5,27,4,96
13,70,7,91
5,29,4,88
21,128,4,87
10,54,18,80
9,40,19,72
4,33,3,90
3,19,12,82
7,46,2,95
5,31,4,96
18,118,8,80
8,43,17,81
12,78,6,91
7,34,0,100
