4,21,22,72
10,65,16,77
4,22,5,89
7,32,4,96
9,45,3,97
3,22,5,95
4,15,8,92
8,42,6,94
4,18,7,93
8,40,6,88
8,44,3,92
5,26,5,86
8,52,4,91
5,20,6,88
7,41,14,83
12,52,2,90
12,52,2,95
14,73,0,97
3,28,15,69
9,48,5,90
9,50,5,88
5,31,4,96
5,40,6,89
11,49,3,90
7,39,3,97
4,21,6,94
10,58,10,86
10,64,5,89
4,15,8,92
6,35,3,90
18,104,11,82
4,25,14,82
7,36,7,87
4,21,94,0
3,13,9,91
4,27,4,92
3,19,6,88
3,21,16,79
2,10,11,78
2,10,22,78
4,23,5,90
2,9,12,88
11,44,6,79
2,12,9,91
4,24,5,90
12,62,2,92
6,28,4,91
11,61,4,92
4,14,9,82
10,41,6,91
5,31,11,85
8,33,4,96
11,64,2,93
4,23,5,90
6,33,4,93
11,65,4,95
5,22,11,83
15,70,6,85
3,14,8,83
3,13,9,82
8,42,6,86
2,9,25,75
7,27,5,90
2,11,10,90
9,55,17,77
5,22,6,94
2,19,11,83
2,10,22,78
10,45,3,94
10,46,3,95
2,13,8,92
3,14,8,92
7,31,4,92
5,21,6,94
2,8,29,71
5,30,4,92
6,30,4,92
4,30,15,78
5,32,7,86
5,28,12,88
15,75,2,98
4,15,8,92
2,9,12,88
2,12,18,73
11,68,17,78
5,20,6,94
7,47,5,93
11,52,2,90
14,75,2,89
2,9,12,75
11,58,19,69
3,17,20,80
7,33,0,96
8,35,4,96
4,19,25,69
6,33,21,79
5,21,6,88
3,18,12,81
2,10,11,78
3,17,20,80
3,20,6,94
2,10,11,89
2,12,9,91
14,71,28,65
4,31,96,0
6,31,19,73
1,12,8,92
4,23,5,95
6,27,91,5
5,28,4,96
11,67,2,96
6,42,3,97
3,12,90,0
6,28,4,91
14,67,6,85
12,68,4,91
1,6,17,83
5,25,5,95
11,57,2,98
1,7,14,86
7,42,3,97
8,37,7,90
14,62,4,88
4,16,100,0
4,16,8,77
9,51,5,91
3,20,11,83
9,41,3,97
10,48,3,95
3,12,10,80
4,16,8,77
9,45,36,44
2,11,10,90
2,8,14,86
2,15,14,71
2,8,57,29
3,20,6,89
3,16,7,71
8,55,4,90
4,20,18,82
2,22,0,86
2,8,14,71
4,18,7,80
4,20,0,100
8,43,3,94
8,55,2,98
3,15,8,85
3,20,11,89
4,27,4,96
11,45,6,83
4,19,6,94
12,76,2,91
2,14,8,85
11,66,2,93
7,33,4,93
7,37,3,94
20,82,6,90
11,55,2,96
9,54,2,98
2,9,25,62
4,27,4,92
9,43,6,89
