Date,Stars,Helpful Votes,Z_Score_HelpfulVotes,Words,Z_Score_Words,Paragraphs,No.break tags,Percentage_Upper_Case,Percentage_Lower_Case,Avg_len_paragraph_per_review
12/21/2017,5,223,0.4157315910425933,229,2.8185832162072004,2,2,2,93,613.0
07/29/2016,4,4067,9.560419718883054,700,10.436122167878008,15,22,5,88,271.93333333333334
10/22/2017,1,408,-0.2877059572528268,148,1.5085605939453417,1,0,4,93,823.0
10/9/2017,5,556,8.153544622292214,189,2.1716584644729493,13,12,7,83,75.15384615384616
11/16/2017,1,154,-0.2877059572528268,114,0.9586745549712281,1,0,2,96,617.0
04/12/2018,4,56,1.1191691393380134,304,4.031567125708921,3,3,3,94,525.0
06/6/2017,2,60,-0.2877059572528268,87,0.5220003475506085,1,0,5,80,754.0
01/7/2019,1,28,1.1191691393380134,121,1.0718863865247221,3,2,5,90,209.66666666666666
02/1/2017,5,176,-0.2877059572528268,80,0.40878851599711463,1,0,2,96,452.0
01/5/2018,1,32,1.1191691393380134,49,-0.09257816659693006,3,2,4,90,85.33333333333333
01/4/2018,3,25,0.4157315910425933,82,0.44113475358382714,2,2,2,92,225.0
10/13/2017,5,24,-0.2877059572528268,226,2.7700638598271317,1,0,4,91,1256.0
12/4/2015,4,1379,6.043231977405954,604,8.883502763715805,10,15,4,91,334.6
09/25/2017,1,27,-0.2877059572528268,41,-0.22196311694378032,1,0,3,95,244.0
05/14/2018,4,13,0.4157315910425933,213,2.5598133155135,2,2,3,93,570.0
08/10/2017,5,15,1.8226066876334337,213,2.5598133155135,4,6,2,91,285.75
05/30/2018,1,15,-0.2877059572528268,53,-0.02788569142350495,1,0,4,95,274.0
02/14/2017,5,17,0.4157315910425933,255,3.2390843048344635,2,2,2,94,645.5
09/26/2017,4,50,1.8226066876334337,185,2.1069659892995243,4,6,5,90,246.75
02/25/2017,1,47,1.8226066876334337,318,4.257990788815909,4,6,5,88,448.0
07/15/2017,1,12,1.1191691393380134,99,0.7160777730708839,3,3,11,82,178.66666666666666
06/6/2017,1,37,-0.2877059572528268,126,1.1527519804915036,1,0,0,96,667.0
01/18/2017,1,53,0.4157315910425933,47,-0.12492440418364263,2,2,3,91,135.5
06/22/2017,3,9,0.4157315910425933,185,2.1069659892995243,2,2,4,92,490.0
06/13/2018,3,8,0.4157315910425933,92,0.6028659415173899,2,2,2,92,240.5
10/3/2017,4,15,-0.2877059572528268,210,2.511293959133431,1,0,2,95,1120.0
01/15/2018,5,7,-0.2877059572528268,185,2.1069659892995243,1,0,2,93,974.0
01/21/2018,5,6,1.1191691393380134,176,1.9614079201593175,3,4,4,90,319.0
07/12/2018,5,6,-0.2877059572528268,106,0.8292896046243778,1,0,3,94,547.0
12/5/2016,5,16,5.339794429110534,262,3.3522961363879578,9,13,2,90,164.44444444444446
01/8/2018,5,5,-0.2877059572528268,160,1.7026380194656172,1,0,1,94,871.0
01/5/2018,1,9,-0.2877059572528268,89,0.5543465851373212,1,0,3,92,467.0
06/21/2018,5,3,2.526044235928854,269,3.4655079679414516,5,8,3,93,312.6
08/25/2017,5,4,6.746669525701374,369,5.082819847277079,11,15,3,92,172.54545454545453
08/6/2017,5,5,0.4157315910425933,146,1.4762143563586292,2,2,4,93,406.0
07/17/2018,5,4,1.1191691393380134,97,0.6837315354841713,3,4,2,90,173.0
06/22/2017,5,5,-0.2877059572528268,127,1.1689250992848599,1,0,5,91,731.0
10/29/2017,5,4,0.4157315910425933,163,1.751157375845686,2,1,5,90,430.5
08/21/2018,5,2,4.636356880815114,264,3.3846423739746703,8,14,2,90,178.375
06/4/2017,5,5,-0.2877059572528268,155,1.6217724254988357,1,0,3,94,801.0
07/18/2018,5,2,1.1191691393380134,268,3.4493348491480953,3,3,5,89,475.0
09/4/2018,5,3,-0.2877059572528268,119,1.0395401489380096,1,0,5,90,646.0
12/12/2017,5,3,-0.2877059572528268,224,2.737717622240419,1,0,3,94,1153.0
03/11/2018,5,3,1.1191691393380134,151,1.5570799503254107,3,4,3,93,257.0
12/20/2017,5,4,0.4157315910425933,219,2.6568520282736374,2,1,2,94,599.5
01/10/2019,1,2,0.4157315910425933,161,1.7188111382589735,2,1,3,93,436.0
03/2/2018,4,2,1.1191691393380134,323,4.338856382782691,3,3,4,92,587.0
08/6/2017,3,4,1.1191691393380134,134,1.282136930838354,3,2,5,91,250.0
03/4/2019,4,2,3.229481784224274,128,1.1850982180782161,6,7,3,90,130.16666666666666
05/5/2018,1,5,-0.2877059572528268,121,1.0718863865247221,1,0,3,93,666.0
01/13/2019,1,3,3.229481784224274,192,2.220177820853018,6,10,3,88,164.83333333333334
08/13/2017,4,5,1.1191691393380134,87,0.5220003475506085,3,4,3,91,150.0
01/2/2019,1,3,-0.2877059572528268,121,1.0718863865247221,1,0,4,93,679.0
05/8/2016,5,5,1.8226066876334337,229,2.8185832162072004,4,3,2,93,327.25
03/22/2019,1,1,-0.2877059572528268,230,2.8347563350005567,1,0,3,94,1201.0
04/27/2017,5,11,3.229481784224274,150,1.5409068315320542,6,10,3,90,135.66666666666666
07/18/2018,5,4,-0.2877059572528268,56,0.02063366495656389,1,0,3,94,290.0
07/13/2017,5,5,5.339794429110534,143,1.4276949999785604,9,11,3,87,86.33333333333333
03/18/2018,4,1,1.1191691393380134,322,4.322683263989335,3,4,2,94,581.6666666666666
04/4/2019,5,1,-0.2877059572528268,145,1.460041237565273,1,0,2,94,825.0
10/31/2017,5,2,1.1191691393380134,196,2.284870296026443,3,4,7,87,366.0
