12,58,4,87
2,17,12,88
5,31,19,81
13,58,2,98
5,27,17,78
5,35,97,0
4,18,20,60
6,39,48,42
4,26,4,91
16,74,3,92
9,53,4,91
4,34,13,84
9,43,6,89
2,11,10,70
19,95,4,90
7,48,7,69
4,24,5,95
25,125,6,89
4,33,3,90
2,17,6,94
8,50,2,98
9,53,4,89
17,92,4,96
22,119,5,89
3,13,9,82
15,87,3,95
10,46,3,95
3,15,8,85
3,10,12,88
4,44,7,76
3,14,25,75
2,9,12,75
3,28,4,92
13,62,4,94
27,147,2,91
3,24,10,76
16,104,1,96
3,20,6,89
3,14,8,58
10,56,4,96
4,27,4,96
3,11,22,67
7,47,0,98
1,8,88,0
4,19,6,94
3,18,19,75
10,56,2,89
4,16,8,85
5,28,13,65
3,18,6,94
4,19,12,62
11,50,8,85
6,31,0,100
9,43,26,74
2,14,8,85
6,43,16,84
4,18,7,87
4,21,22,72
8,36,10,41
1,9,11,67
5,25,10,90
6,32,4,96
27,125,33,57
9,52,5,89
10,64,2,87
3,24,5,91
2,15,7,71
13,71,5,90
3,21,5,89
1,4,25,75
3,23,5,71
13,80,1,96
11,52,2,98
11,51,95,0
5,40,6,94
4,19,6,94
2,10,22,56
21,94,0,91
8,45,3,95
6,44,3,92
4,25,14,77
9,42,3,94
7,61,11,82
4,18,7,93
11,55,4,89
8,32,4,96
3,24,32,64
9,50,2,98
6,35,3,97
14,86,1,97
1,9,11,67
11,54,9,84
4,32,41,52
6,30,8,88
3,16,7,93
2,9,12,75
11,62,2,96
1,7,14,86
11,56,20,76
3,20,6,89
6,34,3,93
2,14,15,85
4,26,4,96
8,38,19,68
6,38,3,94
5,24,5,90
2,8,14,71
9,61,2,98
14,65,6,87
11,64,4,93
4,14,18,82
8,56,2,94
2,13,8,92
2,18,12,88
3,10,100,0
3,13,9,73
15,73,2,95
3,26,4,96
1,6,17,83
2,18,12,88
4,19,6,81
2,9,0,88
13,71,2,93
4,34,13,77
6,42,3,97
4,14,9,91
4,18,7,87
2,21,5,95
2,12,9,91
4,27,4,96
3,26,12,79
11,66,7,93
23,128,2,98
12,65,9,85
3,13,18,73
2,21,5,90
14,66,0,94
2,14,8,85
3,17,7,93
4,19,6,94
4,17,0,93
24,99,3,96
3,19,6,88
7,36,3,97
2,15,14,86
15,93,1,97
13,81,3,93
8,48,5,93
4,26,4,91
4,20,6,76
3,19,6,88
17,92,1,96
3,28,12,73
7,42,3,92
5,33,3,93
