Date,Stars,Helpful_Votes,Words,Z_Score_Words,Paragraphs,Sentiment_Polarity,No.break tags,Percentage_Upper_Case,Percentage_Lower_Case,Avg_len_paragraph_per_review,Z_Score_Paragraphs,Z_Score_HelpfulVotes
05/24/2018,3,861,732,8.41789438978032,17,0.18818390673653831,31,2,89,226.5882352941176,8.945581245399136,22.40472207316963
06/30/2018,1,444,387,4.117857455982109,1,0.0008636363636363654,0,2,97,2113.0,-0.2456352611371832,11.515614800968628
04/29/2018,5,1722,407,4.367134959390701,4,0.2601190476190476,6,3,93,505.0,1.477717833838377,44.88798672872133
04/28/2018,5,514,362,3.8062605767213684,1,0.2616833642547928,0,4,94,1732.0,-0.2456352611371832,13.343522496541938
06/24/2018,1,230,93,0.4534781558758082,1,-0.07333333333333332,0,5,91,486.0,-0.2456352611371832,5.927439845930225
06/8/2018,5,258,219,2.0239264273499367,8,0.17760461760461765,9,2,92,141.625,3.7755219604724575,6.658602924159548
05/1/2018,5,355,62,0.0670980255924907,1,0.2994708994708995,0,3,94,321.0,-0.2456352611371832,9.191560730882564
04/18/2018,1,868,501,5.538739225411082,5,0.06184668989547041,5,3,88,529.8,2.0521688654968973,22.58751284272696
04/21/2018,1,120,123,0.8273944109886959,1,0.14285714285714285,0,4,92,655.0,-0.2456352611371832,3.0550134671721674
06/22/2018,5,112,18,-0.4813124819064114,1,-0.16666666666666666,0,6,69,382.0,-0.2456352611371832,2.846109730535218
07/8/2018,5,91,643,7.308609499612086,14,0.20203703703703707,25,3,90,251.42857142857144,7.222228150423577,2.297737421863225
06/13/2018,1,238,80,0.2914477786602234,1,-0.1315426997245179,0,2,93,471.0,-0.2456352611371832,6.136343582567174
04/23/2018,5,105,122,0.8149305358182662,1,0.31203703703703706,0,4,92,605.0,-0.2456352611371832,2.663318960977887
05/1/2018,5,194,169,1.4007326688284572,1,0.38712384259259264,0,4,92,946.0,-0.2456352611371832,4.987373031063951
06/1/2018,2,61,437,4.741051214503589,10,0.13248677248677249,18,3,90,249.5,4.9244240237894985,1.5143484094746638
04/17/2018,5,231,151,1.1763829157607246,1,0.2232390873015873,0,3,94,822.0,-0.2456352611371832,5.953552813009844
09/7/2018,2,51,128,0.8897137868408439,1,0.26805555555555555,0,3,93,674.0,-0.2456352611371832,1.2532187386784768
06/5/2018,1,54,85,0.3537671545123714,1,0.25,0,4,92,454.0,-0.2456352611371832,1.3315576399173328
06/3/2018,1,342,418,4.504237586265425,1,0.055679522497704304,0,3,94,2033.0,-0.2456352611371832,8.85209215884752
05/17/2018,5,44,200,1.7871127991117748,2,0.09005847953216375,1,4,93,509.5,0.3288157705213369,1.0704279691211458
12/8/2018,1,37,266,2.609728560360128,1,-0.004385964912280698,0,3,93,1484.0,-0.2456352611371832,0.8876371995638148
06/19/2018,1,84,217,1.9989986770090773,2,-0.10851449275362318,2,3,92,671.0,0.3288157705213369,2.114946652305894
06/20/2018,1,41,153,1.2013106661015838,1,-0.04321067821067821,0,4,93,861.0,-0.2456352611371832,0.9920890678822897
05/5/2018,1,105,346,3.606838573994496,1,0.018421717171717183,0,3,93,1904.0,-0.2456352611371832,2.663318960977887
07/7/2018,5,26,221,2.0488541776907963,1,0.2002116402116402,0,3,92,1179.0,-0.2456352611371832,0.6003945616880092
06/21/2018,1,68,88,0.39115878002366017,1,0.04,0,8,88,495.0,-0.2456352611371832,1.6971391790319947
04/17/2018,5,39,74,0.21666452763764585,6,0.43095238095238103,5,4,88,70.83333333333333,2.6266198971554173,0.9398631337230523
05/30/2018,3,23,171,1.4256604191693163,2,0.045274725274725286,2,3,93,446.5,0.3288157705213369,0.5220556604491531
06/14/2018,1,20,355,3.7190134505283616,13,0.3214115646258504,16,3,89,143.46153846153842,6.647777118765057,0.44371675921029696
08/21/2018,1,20,229,2.1485651790542333,1,0.10104166666666667,0,3,94,1204.0,-0.2456352611371832,0.44371675921029696
09/24/2018,1,18,148,1.1389912902494357,4,0.3651515151515152,6,4,87,188.25,1.477717833838377,0.39149082505105953
07/21/2018,1,18,367,3.868579952573517,6,0.012705176767676764,10,2,90,337.5,2.6266198971554173,0.39149082505105953
12/13/2018,1,17,147,1.126527415079006,3,-0.11410256410256407,4,2,92,267.3333333333333,0.903266802179857,0.36537785797144084
09/15/2018,1,14,163,1.3259494178058795,5,0.047178030303030326,8,3,89,177.2,2.0521688654968973,0.2870389567325847
06/18/2018,1,16,100,0.5407252820688153,1,-0.16309523809523813,0,2,94,493.0,-0.2456352611371832,0.33926489089182216
08/20/2018,2,11,354,3.706549575357932,4,0.2847643097643097,6,7,89,475.25,1.477717833838377,0.2087000554937286
04/21/2018,5,21,306,3.108283567177312,3,0.19977941176470604,4,2,94,558.6666666666666,0.903266802179857,0.46982972628991565
04/18/2018,4,54,372,3.930899328425665,4,0.18514957264957266,6,5,90,471.75,1.477717833838377,1.3315576399173328
11/8/2018,1,10,350,3.656694074676214,6,0.07748299319727893,9,3,90,309.0,2.6266198971554173,0.18258708841410992
06/3/2018,2,11,550,6.1494691087621325,6,0.05726049313005836,10,3,92,488.16666666666674,2.6266198971554173,0.2087000554937286
08/19/2018,1,13,134,0.9644970378634214,1,-0.13963636363636364,0,3,94,758.0,-0.2456352611371832,0.26092598965296604
09/10/2018,1,12,79,0.2789839034897938,1,-0.0050000000000000044,0,3,94,392.0,-0.2456352611371832,0.23481302257334732
04/19/2018,5,38,122,0.8149305358182662,1,0.3594877344877345,0,3,93,642.0,-0.2456352611371832,0.9137501666434336
