Date,Stars,Helpful_Votes,Words,Z_Score_Words,Paragraphs,Sentiment_Polarity,No.break tags,Percentage_Upper_Case,Percentage_Lower_Case,Avg_len_paragraph_per_review,Z_Score_Paragraphs,Z_Score_HelpfulVotes
04/8/2018,1,465,116,0.8109835630303904,1,-0.11,0,4,89,625.0,-0.2369592667256708,4.708687490819643
09/7/2016,5,6651,1476,18.92447346819329,29,0.18266610228007285,50,4,89,283.2413793103448,18.49499857720087,67.69905081544582
07/13/2018,1,109,310,3.394819623031569,2,0.00817591499409681,2,2,93,895.5,0.4320392277002771,1.0836358672233095
11/21/2017,2,1864,205,1.9963516524123743,1,0.11496825396825396,0,3,95,1044.0,-0.2369592667256708,18.954325753210853
06/27/2018,1,66,152,1.2904582958141142,1,0.05036630036630036,0,4,92,782.0,-0.2369592667256708,0.6457785081934153
04/25/2017,5,93,75,0.2649151173600383,1,0.22,0,4,90,404.0,-0.2369592667256708,0.9207121987470699
02/6/2018,1,157,147,1.223864582927486,1,0.13258080808080805,0,4,92,788.0,-0.2369592667256708,1.5724068726520288
08/25/2018,1,27,160,1.3970082364327197,4,0.2549339549339549,6,3,90,203.5,1.7700362165521728,0.2486520662825811
11/21/2017,1,119,183,1.7033393157112098,2,0.13083333333333336,2,3,93,500.0,0.4320392277002771,1.1854631600209593
03/27/2017,2,34,663,8.096335752827528,16,0.17568253968253966,23,3,91,220.0625,9.798018149663548,0.31993117124093595
06/25/2018,1,22,114,0.7843460778757392,7,0.13333333333333333,8,6,84,114.57142857142857,3.7770316998300157,0.19773841988375618
08/8/2018,1,27,501,5.93869945530077,8,0.013776356313669743,14,5,86,349.125,4.446030194255965,0.2486520662825811
01/25/2018,5,30,364,4.114031722207154,5,0.21584073584073585,8,2,93,372.8,2.4390347109781207,0.27920025412187605
06/21/2017,4,32,583,7.0308363466414745,5,0.15842060421847656,8,2,94,671.0,2.4390347109781207,0.299565712681406
01/22/2018,5,13,88,0.4380587708652721,1,0.2575757575757576,0,12,80,499.0,-0.2369592667256708,0.10609385636587135
09/21/2017,1,13,135,1.064039671999578,1,0.029487179487179493,0,3,95,708.0,-0.2369592667256708,0.10609385636587135
02/28/2017,5,16,114,0.7843460778757392,1,0.2737037037037037,0,4,93,577.0,-0.2369592667256708,0.1366420442051663
04/21/2018,1,42,440,5.126256158083905,2,0.17918367346938774,1,3,93,1039.0,0.4320392277002771,0.40139300547905576
06/4/2018,2,11,120,0.8642585333396932,1,0.3581890331890332,0,3,89,588.0,-0.2369592667256708,0.08572839780634138
06/22/2018,2,17,222,2.222770276226912,1,0.07083333333333335,0,3,94,1281.0,-0.2369592667256708,0.14682477348493128
09/9/2018,1,7,166,1.4769206918966735,1,-0.07500000000000001,0,3,93,903.0,-0.2369592667256708,0.04499748068728146
09/25/2017,1,10,91,0.478014998597249,1,0.1871794871794872,0,3,93,499.0,-0.2369592667256708,0.0755456685265764
06/25/2017,4,8,137,1.0906771571542293,4,0.30189393939393944,3,5,91,177.75,1.7700362165521728,0.055180209967046444
01/29/2017,1,482,104,0.6511586521024825,2,0.19166666666666665,1,2,92,268.0,0.4320392277002771,4.881793888575648
11/9/2017,3,5,306,3.3415446527222663,7,0.11874458874458875,12,2,91,237.57142857142856,3.7770316998300157,0.02463202212775149
05/5/2017,5,25,150,1.263820810659463,1,0.16183035714285715,0,3,92,795.0,-0.2369592667256708,0.22828660772305112
12/28/2016,1,6,396,4.540231484681576,7,0.15068027210884355,11,5,87,311.7142857142857,3.7770316998300157,0.03481475140751647
03/26/2018,1,3,417,4.819925078805414,14,0.056663614163614186,16,3,90,164.21428571428572,8.460021160811651,0.004266563568221528
03/12/2018,1,5,239,2.4491889000414457,1,0.03630952380952383,0,4,91,1322.0,-0.2369592667256708,0.02463202212775149
05/11/2018,1,3,194,1.849845484061792,3,0.09470486111111112,4,2,93,363.0,1.1010377221262249,0.004266563568221528
12/26/2016,5,5,429,4.979749989733324,8,0.12748214285714288,13,4,89,279.375,4.446030194255965,0.02463202212775149
07/13/2017,3,6,121,0.8775772759170187,3,0.13098639455782313,4,2,91,218.0,1.1010377221262249,0.03481475140751647
01/7/2018,5,4,152,1.2904582958141142,1,0.06791666666666668,0,3,93,740.0,-0.2369592667256708,0.01444929284798651
05/19/2018,1,3,161,1.4103269790100452,1,0.16488413547237074,0,4,92,880.0,-0.2369592667256708,0.004266563568221528
03/27/2019,1,4,93,0.5046524837519002,1,0.2699652777777778,0,3,91,512.0,-0.2369592667256708,0.01444929284798651
11/25/2017,5,3,443,5.166212385815882,4,0.21874213836477985,6,2,94,614.25,1.7700362165521728,0.004266563568221528
